question	answer	keywords
OK, thank you.	You're welcome	Counter({'okthankyou': 1})
what's the time?	{time}	Counter({'whatsthetime': 1})
Execute dishwasher program	{load_dishwasher}	Counter({'executedishwasherprogram': 1})
Execute mars computer program	{load_mars}	Counter({'executemarscomputerprogram': 1})
Tell me more about this demo?	I am an open-source demo created by Synaptics. I am running efficient speech-to-text and language models entirely on-device.	Counter({'tellmemoreaboutthisdemo': 1})
Where can I learn more about synaptics astra?	You can learn more at developer.synaptics.com.	Counter({'wherecanilearnmoreaboutsynapticsastra': 1})
Who are you? What is your name?	I am an AI assistant running on Synaptics Astra	Counter({'whoareyouwhatisyourname': 1})
How do I start using my dishwasher?	To start using your dishwasher, first place your dirty dishes inside. Make sure not to overcrowd the machine. Then add detergent in the designated area and check if you need to add rinse aid. Close the door and select the desired wash cycle. Finally, press the start button.	Counter({'howdoistartusingmydishwasher': 1})
What type of detergent should I use?	You should use dishwasher detergents that are phosphate-free and specially designed for dishwashers. Tablets and packs are recommended for convenience and better cleaning.	Counter({'whattypeofdetergentshouldiuse': 1})
What is rinse aid and why do I need it?	Rinse aid helps your dishes dry better and prevents hard water spots. It improves washing performance by allowing water to sheet off your dishes instead of forming droplets.	Counter({'whatisrinseaidandwhydoineedit': 1})
How often should I add rinse aid?	You should check the rinse aid dispenser regularly. Fill it whenever it is low to ensure optimal drying performance.	Counter({'howoftenshouldiaddrinseaid': 1})
Can I overload the dishwasher?	It is not a good idea to overload the dishwasher. Always leave enough space for water to circulate around the dishes for proper cleaning.	Counter({'canioverloadthedishwasher': 1})
What should I do if my dishes are still dirty after a wash?	First, check if you are using enough detergent and rinse aid. Ensure the dishes are properly loaded and not blocking the spray arms. Try running the dishwasher on a longer cycle next time.	Counter({'whatshouldidoifmydishesarestilldirtyafterawash': 1})
How do I clean the filters in my dishwasher?	To clean the filters, first remove them from the bottom of the dishwasher. Rinse them under running water to remove any debris. Be sure to do this at least once a month.	Counter({'howdoicleanthefiltersinmydishwasher': 1})
What happens if I don’t use rinse aid?	If you don’t use rinse aid, your dishes may come out with water spots and may not dry properly. This can affect the overall cleaning performance.	Counter({'whathappensifidontuserinseaid': 1})
Is it normal for my dishwasher to run long?	Yes, it is normal for energy-efficient dishwashers to run longer. They pause for soaking and cleaning to save water and energy while providing a better clean.	Counter({'isitnormalformydishwashertorunlong': 1})
Why does my dishwasher have an optical water sensor?	The optical water sensor helps the dishwasher determine the right amount of water and energy needed for optimal cleaning, adjusting the cycle length accordingly.	Counter({'whydoesmydishwasherhaveanopticalwatersensor': 1})
How do I know if I need to clean the filters?	Check your dishes. If they are not coming out clean, it may be a sign that the filters need cleaning. It’s good practice to clean them at least once a month.	Counter({'howdoiknowifineedtocleanthefilters': 1})
What kind of cycles does the dishwasher have?	Your dishwasher has different wash cycles. You can choose based on how dirty your dishes are, like a light wash for lightly soiled dishes or a longer cycle for heavy dirt.	Counter({'whatkindofcyclesdoesthedishwasherhave': 1})
How can I prevent hard water spots on my dishes?	To prevent hard water spots, always use rinse aid, which helps water to roll off dishes instead of leaving spots as it dries.	Counter({'howcanipreventhardwaterspotsonmydishes': 1})
How do I load tall objects like pots and pans?	Load tall items like pots and pans in the lower rack of the dishwasher. Make sure they do not block the spray arms to ensure they get properly cleaned.	Counter({'howdoiloadtallobjectslikepotsandpans': 1})
Can I use regular dish soap in the dishwasher?	No, you should not use regular dish soap in the dishwasher. It will create too many bubbles and can damage the appliance.	Counter({'caniuseregulardishsoapinthedishwasher': 1})
What should I do if the dishwasher smells bad?	Check for leftover food stuck in the filters or at the bottom of the dishwasher. Cleaning the filters and running a cycle with vinegar can help remove odors.	Counter({'whatshouldidoifthedishwashersmellsbad': 1})
How do I fix a leaking dishwasher?	Check the door seal for any cracks or dirt. Make sure the dishwasher is level too, as an uneven position can cause leaks. If the problem continues, contact a professional.	Counter({'howdoifixaleakingdishwasher': 1})
Does the dishwasher use a lot of water?	No, your dishwasher is designed to be water-efficient. It uses less water than washing dishes by hand.	Counter({'doesthedishwasherusealotofwater': 1})
How do I unload the dishwasher?	Unload the dishwasher starting with the bottom rack first to prevent water from dripping onto the clean dishes in the upper rack.	Counter({'howdoiunloadthedishwasher': 1})
How often should I run the dishwasher?	You can run the dishwasher every day if you have enough dirty dishes. Just ensure you are loading it properly to maintain cleaning performance.	Counter({'howoftenshouldirunthedishwasher': 1})
What should I do if I hear unusual noises from the dishwasher?	Check if any dishes are touching the spray arms or if something is stuck in the filter. If noises continue, it may be best to get it checked by a technician.	Counter({'whatshouldidoifihearunusualnoisesfromthedishwasher': 1})
Can I run the dishwasher overnight?	Yes, you can run the dishwasher overnight. Many users choose to do this to take advantage of lower energy rates while they sleep.	Counter({'canirunthedishwasherovernight': 1})
How do I load the dishwasher correctly?	Place larger items, like plates and pots, on the bottom rack. Put smaller items, like cups and glasses, on the top rack. Make sure everything is facing down or inward to catch the water.	Counter({'howdoiloadthedishwashercorrectly': 1})
What can I put in the dishwasher?	You can wash most plates, bowls, silverware, and glasses. Check if items are labeled as dishwasher safe. Avoid washing wooden items or anything that can warp.	Counter({'whatcaniputinthedishwasher': 1})
Where do I put the detergent?	Put the detergent in the dispenser, which is usually on the inside of the door. Make sure to close the lid tightly.	Counter({'wheredoiputthedetergent': 1})
How do I add rinse aid?	Look for the rinse aid dispenser, usually near the detergent section. Open it and pour in the rinse aid until it's full, then close it.	Counter({'howdoiaddrinseaid': 1})
Why are my dishes still dirty after a wash?	Check that you loaded the dishwasher properly. Ensure the spray arms can move freely and are not blocked by any items.	Counter({'whyaremydishesstilldirtyafterawash': 1})
What does the overfill protection float do?	The overfill protection float prevents too much water from filling the dishwasher. It helps keep the water level just right.	Counter({'whatdoestheoverfillprotectionfloatdo': 1})
How can I avoid spots on my dishes?	Use rinse aid. It helps reduce water spots and helps dishes dry better.	Counter({'howcaniavoidspotsonmydishes': 1})
What should I do if the dishwasher is making a loud noise?	It could be that something is loose or not in place. Check if any utensils or dishes are touching the spray arms.	Counter({'whatshouldidoifthedishwasherismakingaloudnoise': 1})
How often should I clean my dishwasher?	It’s good to clean the dishwasher every month. Wipe down the inside and check for food buildup in the filter.	Counter({'howoftenshouldicleanmydishwasher': 1})
